Name;ID;RegistrationDate;Location;Owner;Flow;MaintenanceTime;Road
ОП д. Ширяйка;76114;22.05.2017;д. Ширяйка а/д Нагорье – Кубринск – гр. Московской области, 17км+910м (справа), 17км+800м (слева);Департамент транспорта Ярославской области;30;2;а/д Нагорье – Кубринск – гр. Московской области, 17км
ОП г. Цимлянск;61076;20.10.2016;347320 г. Цимлянск Ростовская область, г. Цимлянск, ул. Морская, 11б;"ПАО ""Донавтовокзал""";120;1;ул. Московская, ул. Краснознаменская, ул. Морская
Остановочный пункт п. Нижнебаканский 118км;23455;05.06.2017;п. Нижнебаканский а/д А-146 «Краснодар - Верхнебаканский», 118км+950м (справа), 118км+778м (слева);"ФКУ Упрдор ""Черноморье""";12;5;а/д А-146 Краснодар - Верхнебаканский, п. Нижнебаканский, ул. Ленина
ОП с. Каракол;4046;22.03.2017;"с. Каракол АД Р-256 ""Чуйский тракт"" Новосибирск – Барнаул -Горно-Алтайск – граница с Монголией (в границах Республики Алтай)  620км.+ 228м. (справа), 620км.+ 181м. (слева)";"ФКУ Упрдор ""Алтай""";12;5;"АД Р-256 ""Чуйский тракт"" Новосибирск – Барнаул -Горно-Алтайск – граница с Монголией (в границах Республики Алтай), 620 км, с. Каракол"
"ОП ""Линия""";76092;22.05.2017;а/д Р-104 «Сергиев Посад – Калязин – Рыбинск – Череповец», 318км+883м (справа), 318км+864м (слева);Департамент транспорта Ярославской области;30;2;а/д Р-104 «Сергиев Посад – Калязин – Рыбинск – Череповец», 318км
ОП г. Знаменск;30012;22.05.2017;416540 г. Знаменск Астраханская область, г. Знаменск, зона Т ?, стр. 1;"ГП Астраханской области ""ПАТП №3""";12;2;"а/д ""Страхань - Ахтубинск - Волгоград"", г. Знаменск (зона Т 1/2)"
ОП с. Бурлит;25038;20.04.2017;с. Бурлит а/д А-370 «Уссури» Хабаровск– Владивосток 255км+576м (справа), 255км+570м (слева);"ФКУ ""Дальуправтодор""";12;5;"а/д А-370 ""Уссури"": автобусная остановка на км 255"
Абадзехская автокасса;1052;02.02.2017;385774  ст. Абадзехская Республика Адыгея, ст. Абадзехская, ул. Почтовая, 33Б;"АО ""Объединение автовокзалов и пассажирских автостанций""";12;5;1 вариант: ст. Абадзехская (ул. Шоссейная, ул. Почтовая), 2 вариант: ст. Абадзехская (ул. Интернациональная, ул. Телеграфная, ул. Клубная, ул. Почтовая)
ОП пгт. Лучегорск;25002;20.04.2017;пгт. Лучегорск а/д А-370 «Уссури» Хабаровск– Владивосток 270км+553м (справа), 270км+770м (слева);"ФКУ ""Дальуправтодор""";12;5;"а/д А-370 ""Уссури"": автобусная остановка на км 270"
АС с. Ведено;20004;20.10.2016;366330 с. Ведено Чеченская Республика, Веденский район, с. Ведено, ул. А. Кадырова;"ГУП ""Автопассажирсервис""";12;5;с. Ведено (ул. А. Кадырова)
ОП пгт Линево;54040;05.05.2017;"пгт Линево а/д Р-25 ""Чуйский тракт"" Новосибирск – Барнаул – Горно-Алтайск – Граница с Монголией, 78км+187м (справа)";"ФКУ ""Сибуправтодор""";12;5;"а/д Р-256 ""Чуйский тракт"", 78 км"
ОП с. Пшада 1474км;23393;05.05.2017;с. Пшада а/д М-4 «Дон» Москва – Воронеж – Ростов-на-Дону через Краснодар до Новороссийска Краснодар – Новороссийск 1474км+944м (справа);"ГК ""Автодор""";20;1;"а/д М-4 ""Дон"": съезд в остановочный карман 1474км"
АВ г. Бугульма;16003;22.03.2017;423239 г. Бугульма Республика Татарстан, г. Бугульма, ул. Ягофарова, 18;"ООО ""Бугульминское АТП""";80;10;1 вариант: г. Бугульма (ул. Тухачевского, ул. Ягофарова), 2 вариант: г. Бугульма (ул. Бурова, ул. Ягофарова), 3 вариант: г. Бугульма (ул. Ленина, ул. Радищева, ул. Ягофарова)
ОП ст. Курская;26031;02.08.2016;357850 ст. Курская Ставропольский край, ст. Курская, ул. Садовая, д. 1;"ОАО ""Автовокзал""";20;5;1 вариант: ст. Курская (ул. Моздокская, ул. Садовая), 2 вариант:  ст. Курская (пер. Пролетарский, ул. Садовая), 3 вариант: ст. Курская (ул Советская, ул. Садовая)
Остановочный пункт пов. п/л Дубна;69157;05.06.2017;п/л Дубна а/д «Дубна – Кимры – Горицы», 11км+82м (справа), 11км+57м (слева);"ГКУ ""Дирекция ТДФ""";20;3;а/д «Дубна – Кимры – Горицы», 11км
АС с. Байкалово;72009;05.12.2016;с. Байкалово Тюменская область, Тобольский район, с. Байкалово, ул. Дорожная, 5;"ОАО ""Тобольское ПАТП""";3;5;с. Байкалово (ул. Дорожная)
ОП г. Мелеуз;2153;22.05.2017;г. Мелеуз Республика Башкортостан, г. Мелеуз, ул. Смоленская, 38;"ООО ""Автовокзал Иремель""";4;2;Р-240, г. Мелеуз (ул. Бурангулова, ул. Смоленская)
АС с. Шира;19011;19.01.2017;655200 с. Шира Республика Хакасия, с. Шира, ул. Щетинина, 115;"ОАО ""Автовокзал"" г. Абакан";4;1;1 вариант: с. Шира (ул. Щетина), 2 вариант: с. Шира (ул. Курортная, ул. Щетина)
АВ № 1 г. Нальчик;7003;21.11.2016;360021 г. Нальчик КБР, г. Нальчик, ул. Темрюка Идарова, 124а;"ГУП ""Каббалкавтотранс-1438""";24;5;г. Нальчик (ул. Темрюка Идарова, ул. Гагарина)
АВ г. Армавирский;23008;02.02.2017;352900 г. Армавир Краснодарский край, г. Армавир, ул. Ефремова, д. 145;"АФ ""Кубаньпассажиравтосервис"" ОАО";22;10;г. Армавир (ул. Ефремова)
АС ст. Ленинградская;23031;13.10.2016;353740 ст. Ленинградская Краснодарский край, ст. Ленинградская, ул. Кооперации, 88;"АФ ""Кубаньпассажиравтосервис"" ОАО";10;10;ст. Ленинградская (ул. Жлобы, ул. Ленина, ул. Кооперации), ст. Ленинградская (ул. Староминская, ул. Крестьянская,  переулок Базарный, ул. Жлобы, ул. Кооперации), ст. Ленинградская (ул. Красная, ул. Набережная, ул. Ленина, ул. Жлобы, ул. Кооперации), ст. Ленинградская (пер. Элеваторный, ул. 302 дивизии, ул. Победы, ул. ул. Крестьянская,  переулок Базарный, ул. Жлобы, ул. Кооперации)
